Year,NrPolicy,NrObject,Dt_Exp_Start,Dt_Exp_End,Time_on_book,Customer_Type,D_age,D_age_banded,BonusMalus,D_ZIP,Nr_payments,VEH_type,Veh_type1,Veh_type2,VEH_brand,Construct_year,Capacity,Nr_of_seats,Premium_earned,Sum_insured
2016,3187988,1,01/01/2016,31/12/2016,8,C,57,55 <=  x < 60,5,6260,1,5,commercial car <3100 kg,PICKUP,047,2007,2299,3,116.63678742,1125.8041096
2016,3188095,1,01/01/2016,31/12/2016,8,C,61,60 <=  x < 65,11,7750,1,6,commercial car <3500 kg,PICKUP,240,2013,2800,3,212.75549113,5939.630137
2016,3188244,1,01/01/2016,01/06/2016,8,C,47,45 <=  x < 50,6,2704,1,123,taxi category A,CAR,069,2011,1896,5,193.24756603,8171.5411529
2016,3188472,1,01/01/2016,08/05/2016,8,C,47,45 <=  x < 50,11,6360,1,6,commercial car <3500 kg,PICKUP,064,2009,2500,3,48.742890959,2164.0767123
2016,3188776,1,01/01/2016,31/12/2016,8,C,57,55 <=  x < 60,11,4770,1,51,driving school car,CAR,083,2009,1422,5,0.0023167088,4184.8589041
2016,3188807,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,10,7430,1,1,private car,CAR,064,2011,1149,5,117.07634811,1376.2356164
2016,3188857,1,01/01/2016,31/12/2016,8,C,38,35 <=  x < 40,4,7400,1,1,private car,CAR,056,2006,1496,5,88.895479452,921.36986301
2016,3188879,1,01/01/2016,21/05/2016,8,C,47,45 <=  x < 50,-1,2120,1,1,private car,CAR,083,2008,1716,2,105.6248599,1674.6164384
2016,3189115,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,14,7050,1,1,private car,CAR,015,2014,1560,5,362.59769785,12159.016438
2016,3189192,1,01/01/2016,27/04/2016,8,S,56,55 <=  x < 60,6,5300,1,1,private car,CAR,057,2009,1900,5,137.04155507,3744.6410959
2016,3189594,1,01/01/2016,06/05/2016,8,C,47,45 <=  x < 50,6,6360,1,1,private car,CAR,064,2009,1870,2,33.834657534,1208.2191781
2016,3189809,1,01/01/2016,31/12/2016,8,C,57,55 <=  x < 60,14,2675,1,1,private car,CAR,056,2006,1686,2,56.370418042,1150.569863
2016,3189838,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,2,1069,1,51,driving school car,CAR,056,2011,1686,5,83.176165479,950.69589041
2016,3190372,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,18,9545,1,1,private car,CAR,024,2007,1896,7,185.47672678,2181.9616438
2016,3190416,1,01/01/2016,31/12/2016,8,C,57,55 <=  x < 60,9,2655,1,1,private car,CAR,008,2002,2490,5,135.8654898,2587.0496438
2016,3190660,1,01/01/2016,31/12/2016,8,C,57,55 <=  x < 60,9,2330,1,123,taxi category A,CAR,047,2013,2148,5,227.82303159,21915.616438
2016,3190789,1,01/01/2016,24/04/2016,7,S,33,30 <=  x < 35,11,4690,1,1,private car,CAR,049,2015,2477,5,196.9388645,2909.9342466
2016,3190805,1,01/01/2016,31/12/2016,8,C,57,55 <=  x < 60,14,7300,1,51,driving school car,CAR,023,2015,1248,5,225.69394045,3136.9890411
2016,3190967,1,01/01/2016,31/12/2016,8,S,81,80 <=  x < 85,20,2825,1,1,private car,CAR,064,2011,1149,5,134.20550764,4202.4547945
2016,3191005,1,01/01/2016,31/12/2016,8,C,52,50 <=  x < 55,15,1200,1,1,private car,CAR,049,2009,2477,5,201.41906447,4020.0767123
2016,3191085,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,10,3650,1,51,driving school car,CAR,056,2011,1488,5,11.546248286,410.79452055
2016,3191311,1,01/01/2016,03/05/2016,8,C,47,45 <=  x < 50,10,2620,1,51,driving school car,CAR,056,2011,1686,5,0,635.05479452
2016,3191376,1,01/01/2016,08/06/2016,8,C,57,55 <=  x < 60,17,4470,1,5,commercial car <3100 kg,PICKUP,057,2013,1868,2,60.402052603,3687.9287671
2016,3191867,1,01/01/2016,03/07/2016,8,C,49,45 <=  x < 50,16,1070,1,1,private car,CAR,047,2011,2148,5,325.63063997,15147
2016,3191891,1,01/01/2016,31/12/2016,8,C,48,45 <=  x < 50,14,9800,1,1,private car,CAR,091,2012,1300,5,196.21753667,5224.1721479
2016,3191908,1,01/01/2016,02/03/2016,8,C,47,45 <=  x < 50,11,3440,1,1,private car,CAR,056,2009,1700,2,17.006186301,838.10958904
2016,3192002,1,01/01/2016,31/12/2016,8,S,68,65 <=  x < 70,14,3885,1,1,private car,CAR,057,2009,1124,5,40.850701759,1655.8465753
2016,3192202,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,16,4535,1,51,driving school car,CAR,083,2009,1422,5,133.66499548,3805.0191781
2016,3192242,1,01/01/2016,31/12/2016,8,C,70,70 <=  x < 75,4,2305,1,1,private car,CAR,084,2009,2461,5,584.28212621,11263.266532
2016,3192459,1,01/01/2016,03/06/2016,8,C,57,55 <=  x < 60,11,2150,1,1,private car,CAR,064,2008,1870,5,106.78658055,3646.8493151
2016,3192461,1,01/01/2016,31/12/2016,8,S,70,70 <=  x < 75,11,2500,2,1,private car,CAR,049,2009,1299,5,159.14331465,2678.4246575
2016,3192498,1,01/01/2016,31/12/2016,8,C,64,60 <=  x < 65,11,4440,1,123,taxi category A,CAR,047,2011,2148,5,323.96098814,6870.3287671
2016,3192635,1,01/01/2016,03/05/2016,8,C,47,45 <=  x < 50,10,2620,1,51,driving school car,CAR,056,2011,1686,5,0,641.34246575
2016,3193204,1,01/01/2016,31/12/2016,8,C,57,55 <=  x < 60,11,7300,1,51,driving school car,CAR,064,2017,1461,5,55.476938657,3114.6575342
2016,3193277,1,01/01/2016,14/06/2016,8,C,47,45 <=  x < 50,4,7040,1,6,commercial car <3500 kg,PICKUP,049,2009,2835,2,176.13157808,8340.2886329
2016,3193306,1,01/01/2016,04/05/2016,8,S,60,60 <=  x < 65,14,3140,1,1,private car,CAR,003,2009,1900,5,147.90530959,6942.8478904
2016,3193580,1,01/01/2016,15/05/2016,8,C,67,65 <=  x < 70,19,7170,1,1,private car,CAR,057,2012,1997,2,44.882654795,2819.4657534
2016,3193616,1,01/01/2016,29/06/2016,8,C,47,45 <=  x < 50,20,2680,1,5,commercial car <3100 kg,PICKUP,053,2010,2494,3,55.146712329,4315.8126027
2016,3193782,1,01/01/2016,15/06/2016,8,C,61,60 <=  x < 65,13,3081,1,6,commercial car <3500 kg,PICKUP,047,2007,2874,3,78.425946575,2876.4246575
2016,3194227,1,01/01/2016,31/12/2016,8,S,73,70 <=  x < 75,11,3810,1,1,private car,CAR,047,2011,2148,5,787.55313991,13978.664384
2016,3194471,1,01/01/2016,30/03/2016,7,C,44,40 <=  x < 45,11,1302,1,1,private car,CAR,053,2008,2283,2,38.509006027,1734.8054795
2016,3194546,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,14,2490,1,1,private car,CAR,008,2009,4941,5,522.89307089,12011.578082
2016,3194793,1,01/01/2016,31/12/2016,8,C,57,55 <=  x < 60,6,3751,1,1,private car,CAR,064,2009,1870,2,71.381988897,1190.4109589
2016,3194862,1,01/01/2016,31/12/2016,8,S,57,55 <=  x < 60,13,1050,1,1,private car,CAR,056,2009,1488,2,0,2412.739726
2016,3194872,1,01/01/2016,12/06/2016,8,C,57,55 <=  x < 60,5,2150,1,1,private car,CAR,064,2009,1870,5,170.53673425,4571.318663
2016,3195578,1,01/01/2016,31/12/2016,8,C,57,55 <=  x < 60,4,4625,1,56,truck 10 to 20 tn,TRUCK,084,2009,5840,3,575.07504304,8556.0410959
