NrPolicy,NrObject,NrClaim,Date_of_loss,Paid,Reserves,Settlement_date
3118147,1,3471766,08/12/2013,48.25331,0,
3120127,1,3539281,05/06/2014,598.5152811,0,
3120965,1,3529178,09/02/2014,1037.30179,0,
3121232,1,3287755,04/09/2012,403.43121,0,15/09/2015
3121382,1,3409924,21/04/2013,3504.9571722,0,
3121932,1,3544498,26/11/2013,63.5504322,0,
3122507,1,3499057,07/09/2013,1649.9812682,0,
3122797,1,3385477,07/02/2013,2416.5299862,0,
3122853,1,3953548,20/12/2016,0,2479.55,
3123792,1,3366873,18/10/2012,939.750864,0,11/10/2015
3124883,1,3238557,06/03/2012,1643.2330239,0,14/02/2015
3127281,1,3953538,06/11/2016,51.0286,0,
3128767,1,3979770,06/11/2016,0,2376,
3128887,1,3598768,18/11/2014,2929.2605426,0,
3129190,1,3367706,24/11/2012,5746.4920128,0,12/12/2015
3129506,1,3939775,01/09/2016,584.0109,0,
3132018,1,3596874,19/09/2014,972.7336724,0,
3132604,1,3726201,22/07/2015,2580.9065502,0,
3132915,1,3418592,04/05/2013,1059.8814072,0,
3133490,246,3385487,22/04/2013,498.5855644,0,
3134751,1,3809259,04/05/2016,373.6293,0,
3135569,1,3365675,22/12/2012,243.6154182,0,28/12/2015
3135842,1,3567331,04/09/2014,4288.281354,0,
3135928,1,3389496,28/10/2012,2100.2593248,0,14/10/2015
3136449,1,3870913,02/04/2016,1529.9368,0,
3136810,1,3475110,14/06/2013,210.57848,0,
3137523,227,3427636,17/03/2013,861.4614344,0,
3137622,1,3392866,25/05/2013,3608.9054892,0,
3138536,1,3572127,04/05/2014,2257.53835,0,
3140883,1,3516440,16/08/2013,810.3277809,0,
3141753,1,3477821,26/08/2013,1449.4557924,0,
3143633,24,3410546,02/07/2013,79.3718268,0,
3143874,1,3635969,15/01/2015,273.9993956,0,
3145044,1,3481238,08/10/2013,2794.9258734,0,
3145792,1,3656291,10/11/2014,306.94162,0,
3146831,1,3957823,07/11/2016,4085.6592,2.9886,
3147159,1,3673065,15/01/2015,202.5023616,0,
3147173,1,3651218,06/10/2014,49.5549329,0,
3147962,1,3233558,30/03/2012,681.7809726,0,14/03/2015
3148025,1,3424921,28/12/2012,1876.3719744,0,07/12/2015
3148822,1,3470821,12/07/2013,214.2195916,0,
3149118,1,3246904,28/02/2012,2619.1143693,0,17/03/2015
3150491,1,3278112,25/02/2012,5671.9386282,0,05/02/2015
3151356,1,3230245,28/03/2012,538.8059625,0,11/03/2015
3151640,1,3295115,23/06/2012,2451.27168,0,05/06/2015
3152393,1,3301461,22/09/2012,1139.6555079,0,12/09/2015
3153503,1,3936264,11/08/2016,12456.8486,0,
3153837,1,3472001,27/09/2013,1337.2183254,0,
3153996,1,3804172,26/01/2016,1376.0442,0,
3156099,1,3324575,18/08/2012,1638.4046406,0,31/07/2015
3158481,1,3257071,24/03/2012,1754.8635,0,04/04/2015
3160320,1,3828115,16/04/2016,2164.4574,0,
3160398,1,3657569,22/11/2014,792.8757441,0,
3161145,1,3418407,19/01/2013,798.8725404,0,
3161899,1,3626964,04/02/2013,15639.272573,0,
3162541,1,3910572,12/06/2016,1622.8478,0,
3163126,1,3845884,28/03/2016,1322.04,0,
3165383,1,3708445,24/02/2015,997.3775364,0,
3166060,1,3434070,03/08/2013,420.4376792,0,
3166109,1,3367767,07/03/2013,2959.1621334,0,
3166298,1,3241239,18/03/2012,108.1211868,0,29/03/2015
3166517,1,3919916,18/12/2016,0,2504.1,
3167386,1,3714129,06/07/2015,560.8769,0,
3167982,1,3832225,04/06/2016,51.0286,2426.9593,
3168456,1,3636926,27/12/2014,2200.828238,0,
3168811,1,3825142,15/04/2016,1417.7889,0,
3169529,1,3518221,12/03/2014,9096.92595,0,
3170152,1,3419332,12/03/2013,15155.246223,0,
3170532,296,3517656,05/04/2014,395.87724,0,
3171952,267,3466819,11/10/2013,654.40584,0,
3172226,1,3851933,04/04/2016,974.9619,0,
3172917,1,3508520,03/07/2013,85.701,0,
3173070,1,3384440,26/01/2013,7014.0098028,0,
3173344,1,3862805,21/02/2016,1614.6603,0,
3175122,1,3331983,01/08/2012,1424.9452932,0,18/08/2015
3175447,1,3465714,18/10/2013,2055.9467,0,
3175994,1,3598925,15/11/2013,582.0589362,0,
3176525,1,3231047,02/01/2012,1779.5310897,0,09/01/2015
3176630,1,3875588,08/05/2016,1131.91,0,
3177123,1,3580572,14/10/2014,7258.7950083,0,
3177206,1,3841761,04/07/2016,0,2479.55,
3177883,1,3820305,02/04/2016,1066.4874,0,
3177907,1,3442223,11/09/2013,7954.935478,0,
3178759,1,3847573,12/06/2016,3800.06,0,
3178797,1,3324455,03/12/2012,2675.0628996,0,18/12/2015
3179087,1,3665152,22/02/2015,928.04434,0,
3179454,1,3267011,27/03/2012,1027.8105552,0,01/04/2015
3179736,1,3503738,01/02/2014,802.167289,0,
3181867,1,3717365,13/09/2015,1920.189843,0,
3182195,1,3352849,06/09/2012,2223.02457,0,17/09/2015
3182363,1,3844344,13/04/2016,1028.1546,0,
3182487,1,3214500,05/02/2012,5132.469771,0,24/01/2015
3184142,1,3335229,23/10/2012,158.70357,0,26/10/2015
3184241,1,3875779,29/10/2016,52.5907,2402.93,
3184465,1,3826091,02/04/2016,479.563,0,
3184840,1,3255809,11/02/2012,1056.25494,0,05/02/2015
3185244,1,3823408,12/03/2016,2284.086,0,
3186054,1,3502739,12/02/2014,1038.62108,0,
3186720,1,3587431,08/06/2014,43.7025204,0,
3187168,1,3320754,17/10/2012,1507.09104,0,09/10/2015
3187486,1,3372490,16/04/2013,349.6372264,0,
3187678,1,3302419,21/09/2012,3739.20135,0,06/09/2015
3187847,1,3638416,24/12/2014,1904.82658,0,
3188187,1,3350314,23/01/2013,2040.24348,0,
3188473,1,3517950,11/02/2014,1929.99437,0,
3188879,1,3866107,20/03/2016,982.12,1472.88,
3189251,1,3451726,06/04/2013,217.51244,0,
3189382,1,3291355,15/04/2012,4228.326375,0,23/04/2015
3189650,1,3263567,16/04/2012,13162.49505,0,28/03/2015
3192923,1,3545210,19/04/2014,1359.79194,0,
3193936,1,3374811,12/03/2013,2037.88816,0,
3194296,1,3262208,25/02/2012,3014.2023912,0,20/02/2015
3194471,1,3319276,06/06/2012,15085.51512,0,05/06/2015
3194999,1,3404457,02/03/2013,24241.14,0,
3195329,1,3520151,30/09/2013,48.7358431,0,
3195983,1,3232944,20/02/2012,1158.56052,0,10/03/2015
3196722,1,3587162,21/11/2014,8779.3451508,0,
3197280,1,3548844,10/01/2014,158.0768937,0,
3198261,17,3300392,04/07/2012,276.2109207,0,26/06/2015
3200324,1,3843503,13/06/2016,1444.0932,0,
3201288,1,3540630,09/11/2013,1332.0072388,0,
3203522,1,3636855,31/12/2014,850.1896062,0,
3204663,1,3549040,16/08/2014,3421.8757683,0,
