Year,NrPolicy,NrObject,Dt_Exp_Start,Dt_Exp_End,Time_on_book,Customer_Type,D_age,D_age_banded,BonusMalus,D_ZIP,Nr_payments,VEH_type,Veh_type1,Veh_type2,VEH_brand,Construct_year,Capacity,Nr_of_seats,Premium_earned,Sum_insured
2014,4181961,1,01/01/2014,31/12/2014,2,C,55,55 <=  x < 60,4,8500,1,6,commercial car <3500 kg,PICKUP,024,2013,2402,3,422.56621479,26044.050411
2013,4181965,1,12/10/2013,31/12/2013,1,C,44,40 <=  x < 45,7,2825,1,6,commercial car <3500 kg,PICKUP,049,2013,3908,3,101.00205123,6383.2890984
2014,4182078,1,01/01/2014,31/12/2014,2,C,45,45 <=  x < 50,8,2765,2,1,private car,CAR,047,2009,2148,5,542.31104972,10228.767123
2013,4182113,1,04/10/2013,31/12/2013,1,S,33,30 <=  x < 35,10,7960,1,1,private car,CAR,023,2013,1910,2,52.067243288,3394.4016393
2014,4182156,1,01/01/2014,27/02/2014,1,C,45,45 <=  x < 50,10,2900,1,1,private car,CAR,001,2013,1910,5,41.380244932,20479.835037
2013,4182778,1,24/11/2013,31/12/2013,1,C,54,50 <=  x < 55,12,2350,1,1,private car,CAR,064,2008,1870,2,12.022939726,593.21218579
2014,4182782,1,01/01/2014,31/12/2014,2,C,45,45 <=  x < 50,13,2125,1,1,private car,CAR,084,2012,1900,5,469.31538575,23738.113479
2014,4182916,1,01/01/2014,31/12/2014,2,C,55,55 <=  x < 60,13,7700,1,1,private car,CAR,079,2013,1995,7,683.79141753,31445.989632
2015,4183097,1,01/01/2015,31/12/2015,3,C,46,45 <=  x < 50,16,4415,1,1,private car,CAR,064,2013,1461,5,351.89322164,18383.893151
2015,4183189,1,01/01/2015,31/12/2015,3,C,46,45 <=  x < 50,11,4660,1,1,private car,CAR,066,2014,1910,5,453.4206,29700
2014,4183205,1,01/01/2014,31/12/2014,2,C,55,55 <=  x < 60,5,4710,1,1,private car,CAR,031,2004,1396,5,91.621625753,2615.6712329
2014,4183246,1,01/01/2014,31/12/2014,2,C,45,45 <=  x < 50,11,3140,1,6,commercial car <3500 kg,PICKUP,079,2012,2494,3,238.35584466,13205.864959
2013,4183331,1,21/10/2013,31/12/2013,1,C,59,55 <=  x < 60,14,4430,1,5,commercial car <3100 kg,PICKUP,023,2013,1910,2,37.559026849,2516.64
2014,4183443,1,01/01/2014,31/12/2014,2,C,45,45 <=  x < 50,14,9545,1,1,private car,CAR,083,2011,1900,5,342.84245178,17722.849315
2013,4183452,1,03/11/2013,31/12/2013,1,C,44,40 <=  x < 45,4,6225,1,1,private car,CAR,023,2013,1910,5,53.190398571,4704.2294934
2013,4183461,1,12/11/2013,31/12/2013,1,C,44,40 <=  x < 45,12,4960,2,1,private car,CAR,049,2013,2477,5,76.908342541,4389.3606557
2015,4183524,1,01/01/2015,31/12/2015,3,C,56,55 <=  x < 60,12,2350,1,1,private car,CAR,064,2014,1461,5,312.36252077,3543.3899178
2015,4183579,1,01/01/2015,31/12/2015,3,C,46,45 <=  x < 50,10,3781,1,1,private car,CAR,023,2013,1248,2,169.33838311,1472.0136986
2013,4183601,1,21/10/2013,31/12/2013,1,C,64,60 <=  x < 65,10,5400,4,1,private car,CAR,064,2012,1870,2,19.862954745,972.74590164
2015,4183645,1,01/01/2015,31/12/2015,3,C,56,55 <=  x < 60,5,4710,1,1,private car,CAR,031,2004,1396,5,76.885433699,2230.3726027
2013,4183747,1,01/04/2013,31/12/2013,1,C,51,50 <=  x < 55,15,7350,1,1,private car,CAR,083,2013,1896,2,253.96438356,16199.453552
2014,4183768,1,01/01/2014,31/12/2014,2,C,45,45 <=  x < 50,11,2120,1,1,private car,CAR,037,2013,1998,5,708.62285382,11098.344822
2014,4183820,1,01/01/2014,31/12/2014,2,C,45,45 <=  x < 50,4,6225,1,1,private car,CAR,057,2013,1124,5,0.0040928554,12698.038356
2015,4183887,1,01/01/2015,31/12/2015,3,C,56,55 <=  x < 60,5,7595,1,6,commercial car <3500 kg,PICKUP,064,2012,2463,3,386.30873973,10393.10137
2014,4183938,1,01/01/2014,31/12/2014,2,S,44,40 <=  x < 45,1,8501,1,1,private car,CAR,083,2012,1896,2,110.93720822,6846.260274
2013,4183967,1,15/11/2013,31/12/2013,1,C,44,40 <=  x < 45,15,2686,1,1,private car,CAR,047,2013,2148,6,60.294703288,5523.380929
2014,4184036,1,01/01/2014,09/11/2014,2,C,49,45 <=  x < 50,9,9545,1,1,private car,CAR,056,2010,1700,2,266.66922082,10360.109589
2014,4184045,1,01/01/2014,08/11/2014,2,C,45,45 <=  x < 50,15,2580,1,1,private car,CAR,015,2013,1398,5,156.60639123,15232.438356
2013,4184056,1,06/11/2013,31/12/2013,1,C,44,40 <=  x < 45,7,3810,2,1,private car,CAR,057,2013,1398,2,13.810961326,1954.0327869
2013,4184409,1,09/09/2013,31/12/2013,1,C,44,40 <=  x < 45,10,5060,1,1,private car,CAR,031,2013,2204,5,153.89959397,10484.262295
2013,4184412,1,16/11/2013,31/12/2013,1,C,44,40 <=  x < 45,17,7340,1,70,tow-car,TRUCK,366,2013,0,1,12.185185753,2947.1420765
2014,4184436,1,01/01/2014,31/12/2014,2,C,40,40 <=  x < 45,9,3060,1,1,private car,CAR,064,2013,1500,5,309.83468548,19526.575342
2014,4184488,1,01/01/2014,31/12/2014,2,C,45,45 <=  x < 50,5,7350,1,1,private car,CAR,091,2013,1422,5,330.01610806,985.00734247
2013,4184552,1,11/11/2013,31/12/2013,1,C,44,40 <=  x < 45,9,9580,1,1,private car,CAR,057,2013,1997,5,50.322328767,4619.8559016
